session_key,driver_number,team_name
7780,63,Mercedes
7780,77,Alfa Romeo
7780,81,McLaren
7781,1,Red Bull Racing
7781,2,Williams
7781,4,McLaren
7781,10,Alpine
7781,11,Red Bull Racing
7781,14,Aston Martin
7781,16,Ferrari
7781,18,Aston Martin
7781,20,Haas F1 Team
7781,21,AlphaTauri
7781,22,AlphaTauri
7781,23,Williams
7781,24,Alfa Romeo
7781,27,Haas F1 Team
7781,31,Alpine
7781,44,Mercedes
7781,55,Ferrari
7781,63,Mercedes
7781,77,Alfa Romeo
7781,81,McLaren
7782,1,Red Bull Racing
7782,2,Williams
7782,4,McLaren
7782,10,Alpine
7782,11,Red Bull Racing
7782,14,Aston Martin
7782,16,Ferrari
7782,18,Aston Martin
7782,20,Haas F1 Team
7782,21,AlphaTauri
7782,22,AlphaTauri
7782,23,Williams
7782,24,Alfa Romeo
7782,27,Haas F1 Team
7782,31,Alpine
7782,44,Mercedes
7782,55,Ferrari
7782,63,Mercedes
7782,77,Alfa Romeo
7782,81,McLaren
7783,1,Red Bull Racing
7783,2,Williams
7783,4,McLaren
7783,10,Alpine
7783,11,Red Bull Racing
7783,14,Aston Martin
7783,16,Ferrari
7783,18,Aston Martin
7783,20,Haas F1 Team
7783,21,AlphaTauri
7783,22,AlphaTauri
7783,23,Williams
7783,24,Alfa Romeo
7783,27,Haas F1 Team
7783,31,Alpine
7783,44,Mercedes
7783,55,Ferrari
7783,63,Mercedes
7783,77,Alfa Romeo
7783,81,McLaren
7787,1,Red Bull Racing
7787,2,Williams
7787,4,McLaren
7787,10,Alpine
7787,11,Red Bull Racing
7787,14,Aston Martin
7787,16,Ferrari
7787,18,Aston Martin
7787,20,Haas F1 Team
7787,21,AlphaTauri
7787,22,AlphaTauri
7787,23,Williams
7787,24,Alfa Romeo
7787,27,Haas F1 Team
7787,31,Alpine
7787,44,Mercedes
7787,55,Ferrari
7787,63,Mercedes
7787,77,Alfa Romeo
7787,81,McLaren
9063,1,Red Bull Racing
9063,2,Williams
9063,4,McLaren
9063,10,Alpine
9063,11,Red Bull Racing
9063,14,Aston Martin
9063,16,Ferrari
9063,18,Aston Martin
