session_key,driver_number,lap_number,date_start,lap_duration,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap
7953,81,3,2023-03-05 15:07:07.902000+00:00,100.691,31.877,43.986,24.828,232,242,False
7953,24,3,2023-03-05 15:07:08.402000+00:00,100.596,31.73,44.033,24.833,229,244,False
7953,10,3,2023-03-05 15:07:08.871000+00:00,100.643,31.8,44.083,24.76,225,237,False
7953,20,3,2023-03-05 15:07:09.699000+00:00,101.978,31.821,45.009,25.148,227,237,False
7953,21,3,2023-03-05 15:07:10.137000+00:00,100.914,31.761,44.368,24.785,230,242,False
7953,1,4,2023-03-05 15:08:33.885000+00:00,97.976,31.271,42.642,24.063,228,238,False
7953,16,4,2023-03-05 15:08:36.510000+00:00,98.825,31.402,43.15,24.273,,246,False
7953,11,4,2023-03-05 15:08:37.620000+00:00,98.758,31.404,43.108,24.246,,243,False
7953,55,4,2023-03-05 15:08:38.495000+00:00,98.985,31.192,43.306,24.487,,242,False
7953,44,4,2023-03-05 15:08:39.541000+00:00,99.198,31.315,43.446,24.437,231,240,False
7953,63,4,2023-03-05 15:08:40.229000+00:00,99.261,31.267,43.497,24.497,222,247,False
7953,14,4,2023-03-05 15:08:41.369000+00:00,99.548,31.723,43.457,24.368,223,242,False
7953,77,4,2023-03-05 15:08:42.385000+00:00,99.823,31.568,43.543,24.712,226,244,False
7953,18,4,2023-03-05 15:08:43.073000+00:00,99.745,31.274,43.798,24.673,226,242,False
7953,4,4,2023-03-05 15:08:44.479000+00:00,102.267,32.947,44.387,24.933,227,224,False
7953,31,4,2023-03-05 15:08:45.213000+00:00,99.543,31.349,43.518,24.676,226,245,False
7953,23,4,2023-03-05 15:08:45.947000+00:00,99.761,31.226,43.808,24.727,229,247,False
7953,2,4,2023-03-05 15:08:46.557000+00:00,100.644,31.421,44.124,25.099,228,242,False
7953,27,4,2023-03-05 15:08:47.432000+00:00,101.004,32.225,43.817,24.962,227,248,False
